Role ID,Eng ID,Eng Name,Sector,Sector PT lead,Client,Start Date,Resource Level,Comments,Status
12345,98765,XYZ,WAM,Unassigned,XYZ,12/1/2026,Senior 3,Project comments,Fulfilled
2345,1234,ABC,Insurance,Unassigned,ABC,12/23/2026,Manager,Project comments,Open
5678,3456,EFG,CT,Unassigned,EFG,10/8/2026,Staff 1,Project comments,Invalid
5678,3456,EFG,CT,Unassigned,EFG,10/8/2026,Staff 2,Project comments,Awaiting Confirmation
5678,3456,EFG,CT,Unassigned,EFG,10/3/2026,Staff 2,Project comments,Invalid
5678,3456,EFG,CT,Unassigned,EFG,10/2/2026,Staff 2,Project comments,Awaiting Confirmation
5678,3456,EFG,CT,Unassigned,EFG,10/1/2026,Staff 2,Project comments,Open
5678,3456,EFG,CT,Unassigned,EFG,10/18/2026,Senior 3,Project comments,Awaiting Confirmation
5678,3456,EFG,CT,Unassigned,EFG,10/18/2026,Senior 3,Project comments,Open
5678,3456,EFG,CT,Unassigned,EFG,10/18/2026,Senior 3,Project comments,OPEN
5678,3456,EFG,CT,Unassigned,EFG,10/18/2026,Senior 3,Project comments,Invalid
